Title and feature,Price (fcfa),Marque,Delivery price,Rating,Delivery to,Picture,Link
AIRPHA MEGA3–Ecran5.5"–DualSim–1GoRam–16GoRom-Batterie2500mAh-Bleu Purple,27900,AIRPHA,550 FCFA,3.2/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/91/23288/1.jpg?4448,https://www.jumia.sn/airpha-mega3ecran5.5dualsim1goram16gorom-batterie2500mah-bleu-purple-8823219.html
Invens H3 - Ecran 5" - Double SIM - 3G - ROM 16GB - RAM 2GB - Camera 5/5MP- Vert,24500,Invens,550 FCFA,3.3/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/57/66506/1.jpg?8211,https://www.jumia.sn/invens-h3-ecran-5-double-sim-3g-rom-16gb-ram-2gb-camera-55mp-vert-6056675.html
Itel A37-Ecran 5.7" - Double SIM - ROM 16GB - RAM 1GB - Camera 5/5MP - Vert,35400,Itel,550 FCFA,4.5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/22/56716/1.jpg?4356,https://www.jumia.sn/itel-a37-ecran-5.7-double-sim-rom-16gb-ram-1gb-camera-55mp-vert-6176522.html
TCL 20SE -128 GB + 4 GB - 6.82" - Quadruple Caméra 48MP+5+2+2 - 5000 mAh - Vert + Kit Cadeau offert,100000,TCL,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/57/04888/1.jpg?3867,https://www.jumia.sn/tcl-20se-128-gb-4-gb-6.82-quadruple-camera-48mp522-5000-mah-vert-kit-cadeau-offert-8884075.html
Tecno Camon 15 Air- Double SIM - 4 LTE - 6.6" - Rom 64 Go - Ram 3 Go - 5000mAh - Bleu,87900,Tecno,550 FCFA,5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/94/47795/1.jpg?2941,https://www.jumia.sn/tecno-camon-15-air-double-sim-4-lte-6.6-rom-64-go-ram-3-go-5000mah-bleu-5977449.html
Invens S2 - 4G - Ecran 6.5" - Android 9 - RAM 3Go - ROM 32Go - 3800mAh  - Bleu,49900,Invens,550 FCFA,3/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/45706/1.jpg?4719,https://www.jumia.sn/invens-s2-4g-ecran-6.5-android-9-ram-3go-rom-32go-3800mah-bleu-6075454.html
AIRPHA AIRPHAHalo4–6.5Pouces–DualSim–4GoRam–64GoRom–TripleCameraarrière-5000mAh - Vert,59900,AIRPHA,550 FCFA,5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/51/23288/1.jpg?4042,https://www.jumia.sn/airpha-airphahalo46.5poucesdualsim4goram64goromtriplecameraarriere-5000mah-vert-8823215.html
TCL 20Y - 64GB Rom + 4GB Ram - 6.52" - Triple Caméra 48MP+2+2- 4000 mAh - Noir + Kit Cadeau offert,80000,TCL,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/44788/1.jpg?1220,https://www.jumia.sn/tcl-20y-64gb-rom-4gb-ram-6.52-triple-camera-48mp22-4000-mah-noir-kit-cadeau-offert-8874454.html
Alcatel 1V - 6.22" -Mémoire 32GB+2GB Camera 13Mp Noir +Protection Ecran offerte,99900,Alcatel,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/32/35785/1.jpg?3442,https://www.jumia.sn/alcatel-1v-6.22-memoire-32gb2gb-camera-13mp-noir-protection-ecran-offerte-5875323.html
Invens Max15 – Mémoire 16 Go – RAM 2 Go – Photo 8 Mp – Ecran 6.2″- Bleu,33000,Invens,550 FCFA,3.2/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/22/31006/1.jpg?3393,https://www.jumia.sn/invens-max15-memoire-16-go-ram-2-go-photo-8-mp-ecran-6.2-bleu-6001322.html
Tecno Camon 15 Premier - Ecran 6.6"- RAM 6 Go - ROM 128Go -  Caméra 64 Mpx - Batterie 4000mAh - Blanc,148900,Tecno,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/97795/1.jpg?7339,https://www.jumia.sn/tecno-camon-15-premier-ecran-6.6-ram-6-go-rom-128go-camera-64-mpx-batterie-4000mah-blanc-5977954.html
Tecno SPARK  6 go– Écran 6.52″ – ROM 32GB – RAM 2GB – Caméra 13/8MP,61900FCFA-62900,Tecno,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/15/59388/1.jpg?6883,https://www.jumia.sn/tecno-spark-6-go-ecran-6.52-rom-32gb-ram-2gb-camera-138mp-8839551.html
